model_name,dataset_name,input_type,used_enriched_data,train_samples,test_samples,num_classes,metric_average,accuracy,f1,precision,recall,training_time_sec,epochs,image_height,image_width
XGBoost,adult income,tabular,False,39073,9769,2,binary,0.877162452656362,0.71671388101983,0.7997892518440464,0.649272882805817,0.22257629100204213,,,
XGBoost,adult income,tabular,True,59448,9769,2,binary,0.8747057017094892,0.7082936129647283,0.7997847147470398,0.6355859709153122,0.19435425000119722,,,
NCTD Base,adult income,image,False,39073,9769,2,binary,0.8493192752584706,0.6213991769547325,0.7793548387096774,0.5166809238665526,418.8384511250042,30,24,24
NCTD Base,adult income,image,True,59448,9769,2,binary,0.8426655747773569,0.63026220832331,0.720175920835624,0.5603079555175363,611.5522436669999,30,24,24
NCTD Attention (SE),adult income,image,False,39073,9769,2,binary,0.8495240045040434,0.6312092323130958,0.7633495145631068,0.5380667236954663,422.5426053340052,30,24,24
NCTD Attention (SE),adult income,image,True,59448,9769,2,binary,0.8512642030914116,0.6465580150814887,0.7495769881556683,0.5684345594525235,654.9451746659979,30,24,24
NCTD Asymmetric Kernels,adult income,image,False,39073,9769,2,binary,0.8509571092230526,0.6722197208464655,0.7096007604562737,0.6385799828913601,435.51506354199955,30,24,24
NCTD Asymmetric Kernels,adult income,image,True,59448,9769,2,binary,0.8135940219060293,0.6301035953686777,0.6,0.6633875106928999,679.7112794579953,30,24,24
NCTD Dilated Convolutions,adult income,image,False,39073,9769,2,binary,0.8485003582761798,0.6323894684550422,0.7541469194312796,0.5444824636441403,417.5891211249982,30,24,24
NCTD Dilated Convolutions,adult income,image,True,59448,9769,2,binary,0.8444057733647251,0.6465116279069767,0.7084607543323139,0.5945252352437981,598.4175704590016,30,24,24
NCTD Residual,adult income,image,False,39073,9769,2,binary,0.8463507011976661,0.6370012091898428,0.7328881469115192,0.5633019674935843,417.5630871250032,30,24,24
NCTD Residual,adult income,image,True,59448,9769,2,binary,0.8480908997850343,0.6466666666666666,0.7293233082706767,0.5808383233532934,638.5139748340007,30,24,24
XGBoost,student,tabular,False,3539,885,3,macro,0.7751412429378531,0.7114871402177291,0.7245999733899149,0.7034402741520029,0.5498031250026543,,,
XGBoost,student,tabular,True,5301,885,3,macro,0.7638418079096045,0.6909395856329649,0.7123377778019497,0.680797669136135,0.5458245839981828,,,
NCTD Base,student,image,False,3539,885,3,macro,0.6169491525423729,0.5890515920511027,0.6054978354978355,0.6032271968321116,109.66253850000066,30,72,72
NCTD Base,student,image,True,5301,885,3,macro,0.4384180790960452,0.4432549781562701,0.5498798017881987,0.5173751607799848,163.31621012499818,30,72,72
NCTD Attention (SE),student,image,False,3539,885,3,macro,0.7152542372881356,0.6092839690964734,0.6281373599193215,0.6060013237836002,116.1047670830012,30,72,72
NCTD Attention (SE),student,image,True,5301,885,3,macro,0.4689265536723164,0.4788088322691879,0.6212236651942491,0.5445352708565726,174.32649174999824,30,72,72
NCTD Asymmetric Kernels,student,image,False,3539,885,3,macro,0.6768361581920904,0.6261375695513248,0.6314630325246036,0.6351463744188572,129.46782854200137,30,72,72
NCTD Asymmetric Kernels,student,image,True,5301,885,3,macro,0.7378531073446327,0.6171013081224497,0.6652161628785754,0.6157166635469303,193.64187383299577,30,72,72
NCTD Dilated Convolutions,student,image,False,3539,885,3,macro,0.7005649717514124,0.5306975953474534,0.6483888046426861,0.5629776887417068,108.09341987500375,30,72,72
NCTD Dilated Convolutions,student,image,True,5301,885,3,macro,0.6700564971751413,0.6311163761159578,0.6502283252946827,0.63699236312608,162.1305645409957,30,72,72
NCTD Residual,student,image,False,3539,885,3,macro,0.6644067796610169,0.506626515438012,0.5333441730500553,0.5354884698688922,120.31942550000531,30,72,72
NCTD Residual,student,image,True,5301,885,3,macro,0.6350282485875707,0.5462491335309175,0.5578218046328826,0.541884196458144,181.30870762500126,30,72,72
XGBoost,statlog,tabular,False,46400,11600,7,macro,0.9983620689655173,0.6815792928002047,0.6931088011600901,0.6721416878596387,1.0770352079998702,,,
XGBoost,statlog,tabular,True,255283,11600,7,macro,0.9968965517241379,0.526112061656213,0.5692011322593836,0.5037171317084558,1.7807229579993873,,,
NCTD Base,statlog,image,False,46400,11600,7,macro,0.9979310344827587,0.6536299908784191,0.7128530885850504,0.6182686244482479,65.51695287500479,30,14,14
NCTD Base,statlog,image,True,255283,11600,7,macro,0.9975862068965518,0.6184062602882875,0.6581541418264168,0.5936487674097913,359.98725600000034,30,14,14
NCTD Attention (SE),statlog,image,False,46400,11600,7,macro,0.9981034482758621,0.662210468826303,0.713086814106241,0.6327731092436976,87.74511462500232,30,14,14
NCTD Attention (SE),statlog,image,True,255283,11600,7,macro,0.9979310344827587,0.663782527396679,0.7060818064549425,0.6367246807766694,482.39992079199874,30,14,14
NCTD Asymmetric Kernels,statlog,image,False,46400,11600,7,macro,0.9981896551724138,0.6697692257269477,0.7131664435739191,0.6470588235294118,83.9127369170019,30,14,14
NCTD Asymmetric Kernels,statlog,image,True,255283,11600,7,macro,0.9975,0.6320892233269362,0.677181549673839,0.6199022887728128,459.84250091699505,30,14,14
NCTD Dilated Convolutions,statlog,image,False,46400,11600,7,macro,0.9964655172413793,0.5961415369779858,0.6496378940098142,0.6031733127604448,65.41884229199786,30,14,14
NCTD Dilated Convolutions,statlog,image,True,255283,11600,7,macro,0.9961206896551724,0.5964276596880379,0.658200518598082,0.5639139944807114,359.7060656670001,30,14,14
NCTD Residual,statlog,image,False,46400,11600,7,macro,0.9979310344827587,0.6538378038175263,0.7130662059702294,0.6184717256432023,81.40570825000032,30,14,14
NCTD Residual,statlog,image,True,255283,11600,7,macro,0.9972413793103448,0.6011159256069619,0.6504746436494572,0.6070941455610518,445.4381097500009,30,14,14
XGBoost,maintenance,tabular,False,8000,2000,2,binary,0.9885,0.8099173553719008,0.9245283018867925,0.7205882352941176,0.17477033300383482,,,
XGBoost,maintenance,tabular,True,15458,2000,2,binary,0.9695,0.6013071895424836,0.5411764705882353,0.6764705882352942,0.1804186250010389,,,
NCTD Base,maintenance,image,False,8000,2000,2,binary,0.979,0.704225352112676,0.6756756756756757,0.7352941176470589,10.845091499999398,30,12,12
NCTD Base,maintenance,image,True,15458,2000,2,binary,0.9685,0.6086956521739131,0.5268817204301075,0.7205882352941176,20.77995224999904,30,12,12
NCTD Attention (SE),maintenance,image,False,8000,2000,2,binary,0.977,0.6891891891891891,0.6375,0.75,15.023400917001709,30,12,12
NCTD Attention (SE),maintenance,image,True,15458,2000,2,binary,0.9715,0.6369426751592356,0.5617977528089888,0.7352941176470589,28.849682333995588,30,12,12
NCTD Asymmetric Kernels,maintenance,image,False,8000,2000,2,binary,0.981,0.7246376811594203,0.7142857142857143,0.7352941176470589,13.233648125002219,30,12,12
NCTD Asymmetric Kernels,maintenance,image,True,15458,2000,2,binary,0.977,0.6461538461538462,0.6774193548387096,0.6176470588235294,25.5790659589984,30,12,12
NCTD Dilated Convolutions,maintenance,image,False,8000,2000,2,binary,0.9755,0.6838709677419355,0.6091954022988506,0.7794117647058824,10.801706375001231,30,12,12
NCTD Dilated Convolutions,maintenance,image,True,15458,2000,2,binary,0.9675,0.5911949685534591,0.5164835164835165,0.6911764705882353,20.50853466600529,30,12,12
NCTD Residual,maintenance,image,False,8000,2000,2,binary,0.978,0.7105263157894737,0.6428571428571429,0.7941176470588235,13.011844667002151,30,12,12
NCTD Residual,maintenance,image,True,15458,2000,2,binary,0.9755,0.6370370370370371,0.6417910447761194,0.6323529411764706,24.802765458996873,30,12,12
XGBoost,stroke,tabular,False,4088,1022,2,binary,0.9500978473581213,0.07272727272727272,0.4,0.04,0.173882708993915,,,
XGBoost,stroke,tabular,True,7778,1022,2,binary,0.9471624266144814,0.06896551724137931,0.25,0.04,0.17180062500119675,,,
NCTD Base,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,20.841919917002087,30,20,20
NCTD Base,stroke,image,True,7778,1022,2,binary,0.8884540117416829,0.18571428571428572,0.14444444444444443,0.26,39.22654891700222,30,20,20
NCTD Attention (SE),stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,22.616838417001418,30,20,20
NCTD Attention (SE),stroke,image,True,7778,1022,2,binary,0.8326810176125244,0.18181818181818182,0.11949685534591195,0.38,42.84255741699599,30,20,20
NCTD Asymmetric Kernels,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,23.104034874995705,30,20,20
NCTD Asymmetric Kernels,stroke,image,True,7778,1022,2,binary,0.9060665362035225,0.1724137931034483,0.15151515151515152,0.2,43.86980662499991,30,20,20
NCTD Dilated Convolutions,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,20.650190291002218,30,20,20
NCTD Dilated Convolutions,stroke,image,True,7778,1022,2,binary,0.8904109589041096,0.17647058823529413,0.13953488372093023,0.24,39.25857420900138,30,20,20
NCTD Residual,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,22.568467958000838,30,20,20
NCTD Residual,stroke,image,True,7778,1022,2,binary,0.8796477495107632,0.18543046357615894,0.13861386138613863,0.28,42.88063220800541,30,20,20
